Date,Open,High,Low,Close,Volume,Diff,Gain,Loss,Avg. Gain,Avg. Loss,RS,1+RS,RSI_day_14,SMA_50,SMA_25
26-Apr-16,725.42,725.77,703.03,708.14,2744587,-17.28,0,-17.28,2.825,-3.2914285714,0.8582899306,1.8582899306,46.1870839659,727.2254,744.2192
25-Apr-16,716.1,723.93,715.59,723.15,1955567,7.05,7.05,0,2.3214285714,-3.3057142857,0.702247191,1.702247191,41.2541254122,726.4246,744.7972
22-Apr-16,726.3,736.12,713.61,718.77,5939199,-7.53,0,-7.53,2.3214285714,-3.1085714286,0.7467830882,1.7467830882,42.7519073925,725.7316,745.5576
21-Apr-16,755.38,760.45,749.55,759.14,2743620,3.76,3.76,0,2.8607142857,-3.1085714286,0.9202665441,1.9202665441,47.9238961349,724.111,744.6356
20-Apr-16,758,758.13,750.01,752.67,1525591,-5.33,0,-5.33,2.8607142857,-3.035,0.9425747235,1.9425747235,48.5219287617,722.7124,743.662
19-Apr-16,769.51,769.9,749.33,753.93,2027642,-15.58,0,-15.58,2.8914285714,-1.9221428571,1.5042735043,2.5042735043,60.0682593854,721.3052,742.7244
18-Apr-16,760.46,768.05,757.3,766.61,1555953,6.15,6.15,0,3.1792857143,-1.9221428571,1.6540319584,2.6540319584,62.3214785775,720.1332,741.1328
15-Apr-16,753.98,761,752.69,759,1800413,5.02,5.02,0,2.8207142857,-2.155,1.3089161419,2.3089161419,56.6896353717,719.4922,739.2856
14-Apr-16,754.01,757.31,752.7,753.2,1130971,-0.81,0,-0.81,3.0557142857,-2.0971428571,1.4570844687,2.4570844687,59.3013584695,719.7212,737.3672
13-Apr-16,749.16,754.38,744.26,751.72,1707095,2.56,2.56,0,2.8728571429,-2.4042857143,1.1948900773,2.1948900773,54.4396318358,719.7268,735.0572
12-Apr-16,738,743.83,731.01,743.09,1349734,5.09,5.09,0,2.7442857143,-2.4042857143,1.1414141414,2.1414141414,53.3018867926,719.724,733.14
11-Apr-16,743.02,745,736.05,736.1,1211762,-6.92,0,-6.92,3.1435714286,-1.91,1.6458489155,2.6458489155,62.2049469967,719.6212,732.1316
8-Apr-16,743.97,745.45,735.55,739.15,1285755,-4.82,0,-4.82,3.1435714286,-1.87,1.6810542399,2.6810542399,62.701239493,718.838,731.0624
7-Apr-16,745.37,747,736.28,740.28,1429504,-5.09,0,-5.09,3.2385714286,-1.5064285714,2.1498340446,3.1498340446,68.2522956497,718.2932,730.2052
6-Apr-16,735.77,746.24,735.56,745.69,1050193,9.92,9.92,0,3.2242857143,-1.5064285714,2.1403508772,3.1403508772,68.1564245811,717.6128,729.13
5-Apr-16,738,742.8,735.37,737.8,1129829,-0.2,0,-0.2,3.325,-1.4921428571,2.2283389181,3.2283389181,69.0243179122,717.3618,727.5288
4-Apr-16,750.06,752.8,742.43,745.29,1131843,-4.77,0,-4.77,3.5878571429,-1.1514285714,3.1160049628,4.1160049628,75.7045968352,716.5878,725.92
1-Apr-16,738.6,750.34,737,749.91,1574870,11.31,11.31,0,3.2671428571,-1.1514285714,2.8374689826,3.8374689826,73.9411574521,715.5586,724.1536
31-Mar-16,749.25,750.85,740.94,744.95,1712375,-4.3,0,-4.3,3.6028571429,-0.8442857143,4.2673434857,5.2673434857,81.0150979764,714.6954,722.338
30-Mar-16,750.1,757.88,748.74,750.53,1780998,0.43,0.43,0,4.0557142857,-0.8442857143,4.8037225042,5.8037225042,82.7696793002,713.5738,720.1508
29-Mar-16,734.59,747.25,728.76,744.77,1902128,10.18,10.18,0,3.7128571429,-0.8442857143,4.3976311337,5.3976311337,81.4733542321,712.9728,718.6184
28-Mar-16,736.79,738.99,732.5,733.53,1299812,-3.26,0,-3.26,3.7128571429,-1.45,2.560591133,3.560591133,71.9147758718,712.3134,717.3136
24-Mar-16,732.01,737.75,731,735.3,1564782,3.29,3.29,0,3.4778571429,-1.7428571429,1.9954918033,2.9954918033,66.6165002055,712.1288,715.7956
23-Mar-16,742.36,745.72,736.15,738.06,1421861,-4.3,0,-4.3,3.4778571429,-1.8828571429,1.8471168437,2.8471168437,64.8767488344,711.6882,714.6092
