Date,Open,High,Low,Close,Volume,Adj Close
2016-04-27,365.50,380.80,361.00,373.15,460100,373.15
2016-04-26,358.00,363.50,355.85,360.40,101200,360.40
2016-04-25,355.00,363.85,355.00,358.85,142200,358.85
2016-04-22,356.00,358.10,350.35,353.10,77600,353.10
2016-04-21,356.50,358.60,351.25,356.75,99900,356.75
2016-04-20,365.00,365.00,354.20,356.50,136300,356.50
2016-04-19,358.55,358.55,358.55,358.55,000,358.55
2016-04-18,354.30,363.00,352.50,358.55,128900,358.55
2016-04-15,351.80,351.80,351.80,351.80,000,351.80
2016-04-14,351.80,351.80,351.80,351.80,000,351.80
2016-04-13,350.00,364.30,350.00,351.80,235700,351.80
2016-04-12,349.00,352.40,344.35,349.55,246700,349.55
2016-04-11,342.05,349.50,341.00,348.35,251900,348.35
2016-04-08,333.00,337.65,325.70,334.30,147400,334.30
2016-04-07,335.55,335.55,329.50,331.70,72500,331.70
2016-04-06,334.00,339.40,331.90,334.65,111000,334.65
2016-04-05,345.40,345.85,329.15,330.35,195400,330.35
2016-04-04,336.80,350.60,336.70,347.85,177400,347.85
2016-04-01,350.35,350.60,332.30,335.25,285200,335.25
2016-03-31,353.05,356.55,346.20,350.90,103800,350.90
2016-03-30,358.05,359.25,351.25,353.90,267200,353.90
2016-03-29,350.00,357.80,346.20,354.60,85800,354.60
2016-03-28,358.50,361.00,347.20,350.15,172300,350.15
2016-03-25,358.55,358.55,358.55,358.55,000,358.55
2016-03-24,358.55,358.55,358.55,358.55,000,358.55
2016-03-23,351.50,361.20,351.50,358.55,199400,358.55
2016-03-22,355.00,356.10,344.80,351.30,298400,351.30
2016-03-21,344.30,354.65,344.30,353.55,225500,353.55
2016-03-18,347.90,348.30,339.85,344.65,209500,344.65
2016-03-17,339.65,352.00,338.00,341.55,2289300,341.55
2016-03-16,339.05,344.30,335.55,339.65,72500,339.65
2016-03-15,338.05,344.85,336.60,343.65,229200,343.65
2016-03-14,338.40,342.00,332.00,340.90,82400,340.90
2016-03-11,332.00,339.00,332.00,337.85,302200,337.85
2016-03-10,332.35,338.80,331.10,335.95,196600,335.95
2016-03-09,326.15,339.00,326.15,335.10,110600,335.10
2016-03-08,327.50,334.60,327.00,331.80,891000,331.80
2016-03-07,330.10,330.10,330.10,330.10,000,330.10
2016-03-04,333.45,336.50,327.05,330.10,127200,330.10
2016-03-03,321.25,334.80,321.25,333.45,684500,333.45
2016-03-02,320.70,327.50,320.70,326.65,246100,326.65
2016-03-01,315.30,322.60,310.20,320.80,126900,320.80
